speaker,utterance
M2,hhh hhh hhh hhh→
M1,what:t they didn't say tha:t in the⌈: (.) thi::ng⌉ [!]
M2,⌊that was weir⌋:d hhh [!] hhh ⌈ hhh hhh hhh ⌉→
M1,⌊publically⌋ distribu⌈ted⌉ [!]
M2,⌊ hhh that hhh ⌋ hhh was hhh wei:::rd [!]
M1,I didn't read tha:t [!]
M2,+≈ ∙hhh⌈hh⌉ .
M1,⌊∙hhh⌋ ⌈well the [UNINTELLIGIBLE] was⌉ +/.
M2,⌊oka:y well let's not⌋ talk about terrorism hhh hhh [!]
M1,+≈ no:::→
M2,⌊ hhh hhh ⌋→
M1,"+"" o::h you know:: if you're going to get pregnant, you have to"
M2,"hhh hh ⌊hhh⌋ hhh hhh hhh hhh hhh hhh hhh hhh hhh hhh hhh ∙hhh, hh"
M1,+≈ °that's not ⁎good⁎°→
M2,hhh hhh ⌈ hhh hhh ⌉→
M1,⌊ did you⌋ see u:::m-
M2,⌊no⌋:: no:→
M1,∙hhh they had this: little sce:ne where the gu::ys::→
M2,+≈ uh huh→
M1,+≈ ∙hhh and then you see this sce:ne in Wa:shington→
M2,⌈ [NOISE] ⌉→
M1,⌊deet deet deet deet deet deet⌉→ hhh voi:ce i:den:ti:fie::d [!]
M2,⌈ hhh hhh hhh hhh ⌉
M1,"⌊voi:ce, num:ber: blah⌋ blo: blo: bla⌈::h⌉"
M2,⌊ hhh ⌋ hhh hhh → ⌈∙hhh⌉→
M1,°you kno:w ⌊so it's⌋°the n+s+a:°listening in° ⌈t ⌉
M2,⌊ hhh ⌋ hhh hhh hhh hhh → (0.4) hhh hhh →
M1,oh he was an n+s+a: guy:↗
M2,"+≈ h:e, well he used to work for them yea:h → ⌈∙hhh (.) ∙hhh⌉→"
M1,⌊what happened to⌋ Linda Lee:↗
M2,∙hhh a:h she just le:f:t [!] she le:ft u:::m:°ph°→ (0.7) ju::st u::m I guess back in Ma::y→
M1,yea:h ↗ so she did her two: yea:rs (then) she left↗
M2,well ⁎she left a little⁎ prematur:ely: hhh even hhh hhh hhh →
M1,+≈ ah hah ↗
M2,+≈ hhh hhh hhh she wa(s) hhh → she ended up not being too: ha:ppy with her hhh advisor hhh→ ⌈ hhh hhh hhh ⌉ hhh hhh hhh [!]
M1,⌊I: ⌋ see:→ ⌈what a surpri:se⌉ →
M2,⌊∙hhh⌋ u:m no:: she got ma:rrie:d (.)→ u:::m (.) a::nd→ ∙hhh they got married in Mar:ch:→
M1,+≈ ah hah↗
M2,+≈ ⁎so she was sort of⁎eager to li:ke→ (0.7) like lea::ve and (0.3)→
M1,yea:⌈h⌉ ↗
M2,⌊ hhh and⌋ move in with her husband hhh [!] ∙hhh hhh u::m-
M1,+≈ I: ⌈knew well I guess⌉ her husband was not from Pittsburgh→
M2,⌊and a:lso she just⌋ +/.
M1,+≈ right↗
M2,+≈ no: no: [!] ⌈it's⌉ the sa [/] it's the sa:me guy: that-
M1,⌊no⌋ ↗
M2,+≈ she:[/] sh:e: m- °∙hhh°actually met him:→ ∙hhh right at the end of gra:duate schoo:l→
M1,+≈ o:h bo:y [!]
M2,a:nd u::h- (1.) a:nd u::h u::m- (1.) somebody's at the door now→ (1.3) Hi [!] 0 [% static 2s] → U::m→ 0 [% static 1.2s] → it's actually [/] they're (our) [CLICK⁎CURRENT] upstairs neighbor ∙hhh u::m [STATIC→] ◉yes◉ so she: [/] she [/] she⁎met him right before one⁎[/] [STATIC]
M1,+≈ ah ha:h↗
M2,+≈ so she just [/] ⁎like at the en:d of gra:duate schoo::l⁎→
M1,+≈ and they ⌈didn't break up⌉ ↗
M2,⌊they'd only been known⌋ each other like for like a couple of ⁎like two: mon:ths or something like that⁎ . ⁎and no: they didn't ⌈break up⌉⁎ [!]
M1,⌊oh my g⌋o::d [!]
M2,⁎and they continued as a lo::ng distance relationship for the whole
M1,hhh⌈hh⌉ [!]
M2,⌊hhh⌋→
M1,wo::w: [!] (0.5) that's something [!]
M2,[BREATHES→] so: u:m: yeah:h [!] ⁎so then they got⁎- (0.5) they got ma:rrie:d↗ ∙hhh a::nd she also sai:d [/] that [/] ⁎she was no:t at a:ll happy
M1,⌈yea:h well⌉ →
M2,"⌊ hhh hhh ∙hhh⌋⁎she ◉started talking◉ about⁎thing:s that [/] that (0.5) r:ang:: a be:ll: li:ke- ∙hhh every wee:k before going to the meeting:: with her::- ∙hhh she'd be: really sca::red and- ⁎every time she'd⁎te:ll her: tha:t [/] her advi:sor would tell her: ∙hhh like [/] (0.6) do: it, ⁎and then come back to the meeting next her:: advi::sor:: [UNINTELLIGIBLE]- ∙hhh who:: I: still won't na:me in case this is: u:h being taped→ hhh for hhh ⌈ hhh ⌉"
M1,⌊hhh⌋ hhh ⌈ hhh°hhh hhh hhh°⌉→
M2,⌊ hhh psycholinguistics⌋ research hhh hhh hhh [!] ∙hhh hhh hhh →
M1,hhh ⌈hhhn⌉ [!]
M2,⌊∙hhh⌋ hhh hhh um but [/] hhh hhh→ ⌈[UNINTELLIGIBLE]⌉-
M1,⌊tha:t may⌋ be publically di⌈strib⌉-
M2,⌊ hhh ⌋ hhh hhh hhh hhh→ ∙hhh wou:ld u::h- (0.5) forget what she'd a:sked her to do:: the previous wee::k an:d you know::- ∙hhh ⌈the: [/] and it would [/] everything was:⌉-
M1,⌊yea:hand then if the::y [/] hhh why: didn't you⌋ do: thi::s hhh ↗
M2,yea::h [/] everything: was a:lways li:k:e [/] h:arshly critical::
M1,+≈ yea:h →
M2,(0.3) °an::d°⌈so: o:n so she was not very happy⌉ →
M1,⌊and it [/] (0.2) and it [/] everything [/] other thing:s (is) ∙hhh well⁎what do you⁎think↗ I mea:n is this be:tter: or is this better [!]
M2,⌈∙hhh⌉→
M1,⌊∙hhh⌋ we::ll why don't you consider all the po:ssibilitie:s and
M2,⌊ hhh hhh hhh hhh hhh hhh hhh hhh hhh ⌋
M1,⌊and then you wri:te the repo⌋⌈::rt and⌉-
M2,⌊ hhh [UNINTELLIGIBLE]⌋ hhh ⌈ hhh ⌉→
M1,⌊she⌋ say::s- ∙hhh hhh ◉we:ll◉ you kno:w⁎in the report you said this was be:tter:
M2,+≈ hhh hhh→
M1,+≈ and it's like hhh well the who:le poi::nt of this ⌈who::le⌉ hhh
M2,⌊ hhh hhh hhh hhh ⌋ . hhh hhh ⌈ hhh hhh hhh hhh ⌉→
M1,⌊was to do what⌋ you: thou::ght hhh [!] 0 [% smiling voice] .
M2,+≈ hhh hhh ⌈ hhh hhh ⌉→
M1,⌊ hhh oh⌋ I: al:ready knew what I: thou:ght hhh [!] hhh so ⌈why did I have to write this ou::t⌉ hhh ↗
M2,⌊ hhh hhh hhh hhh hhh ⌋ . ∙hhh hhh hhh hhh→
M1,"+≈ °you know, yea:h°→"
M2,+≈ ∙hhh→
M1,+≈ ⁎so you want to hear what my jo::b i:s⁎↗
M2,+≈ ye::s I do:: desperately (0.2) hhh ⌉
M1,oka:y I have a six month co:ntra::ct-
M2,+≈ ah ha:h↗
M1,like [/] I went to this:h pla:c:e and I: said hhh okay: I wa:nt a: this is li:ke at Be:ll Co:rp basical⌈ly⌉→
M2,⌊yea⌋:h→ ⌈yeah⌉ →
M1,⌊∙hhh⌋ and I said you know hhh I want to do hhh HTI → kno:wing (.) fu:ll we:ll that I had no idea what HTI: was→
M2,+≈ hhh hhh hhh→
M1,so: they [/] they pegged me as a: u::h- ∙hhh a:s a: u::h an h+t+i::: (0.2) interfa:ce desi:gner:→
M2,yea::h ↗
M1,"you kno:w, so I [/] I was thinking like [/] h: plus t plus i::→ included li:ke [/] you know- ∙hhh prototy:pe te:s:ting where you go out and you te::⌈st⌉-"
M2,⌊su:re⌋ yea⌈::h⌉ →
M1,⌊like⌋- ∙hhh you kno:w assessing: u:ser: nee::ds where you:- you collect a lot of sur::vey: informa:tion→ and you ⌈anal⌉y:ze it with SPSS or whatev(er) ⌈fh⌉→
M2,⌊ri::ght⌋                             ⌊yea⌋h: [!]
M1,+≈ ∙hh⌈hh no:: n⌉o:: no:: no::→
M2,⌊⁎there's a [/] there's a leash⁎⌋ [!]
M1,⌈no::⌉ [!]
M2,⌊no ⌋ no: ⌈no:::⌉ [!]
M1,⌊in:ter⌋fa::ce desi::::gn [!]
M2,o⌈ka:::y ⌉ ↗
M1,⌊the gu::y⌋ who desi:gns the interfa:c:e→ and now I'm wor:king: [/] in a [/] grou::p- ⌈∙hhh⌉ the:re's li:ke [/] ye[/] half a dozen peopl:e→
M2,⌊uh huh⌋→
M1,+≈ ∙hhh and the::re's: [/] the:re are two gu::ys:→ ∙hhh who do::[/] who go: ou:t and asse:ss::→ (0.5) you kno:w what (0.2) what it is that the users wa::nt→
M2,+≈ ri::ght →
M1,and the:y do:- ∙hhh one of the things they do: is the:y sho:w the video::↗ ∙hhh u:h to the <people> [?] and they had the- ∙hhh you know the thing that the republica:ns u::se↗
M2,+≈ ah hah→
M1,+≈ you know when Rea:gan says something stupid peopl:e turn it to
M2,"⌊ri:ght, yea:h yea:h⌋ that little ⌈kno:b, yea:h⌉ [!]"
M1,"⌊and so the:y⌋ yea:h, and so the:y cut ou:t all the disappro:ved"
M2,yea::h →
M1,◉well that's◉ what they u:se →
M2,(0.4) wo::w [!]
M1,+≈ they use tha::t →
M2,⁎who [/] who⁎[/] who are they: [/] doing the software for →
M1,(0.7) are doing the so:ft [/] uh uh [/] a:: Be:ll Nor:thern
M2,uh huh→
M1,which i:s: a c[/] the c[/] mai:n competitor to a_t_t: for:
M2,o:kay→
M1,+≈ °stuff:°→
M2,+≈ okay →
M1,and they also: desi:gn telepho::nes becau:se you kno::w→ ∙hhh what they do: is the:y ma:ke people buy telepho::nes:- ∙hhh tha:t u::h [/] you need all this e:xtra:°b°[/] u:h
M2,⌈m hm⌉→
M1,"+≈ ∙hh⌊hh (know)⌋ the people buy the telepho::nes, so then they- ∙hhh telephone company says hhh ◉oh:◉ we:ll: we have to buy all"
M2,⌊hh⌋→
M1,+≈ process the ba::nd⌈wi::dth⌉ hhh [!]
M2,⌊hh hhh ⌋ hhh hhh hhh hhh→
M1,so they have to buy mo:re switche::s and that's where they ma:ke
M2,"ri::ght, ⌈(right)→"
M1,⌊they have a really cool telepho:ne that's coming ou:t no::w→
M2,∙hhh it's got a littl:e l: c_d scree:n o:n it↗ +≈ m hm↗
M1,+≈ a:nd you can:: [/] your: [/] you can do [/] the:y [/] it's (0.2) you know they have it [/] (0.2) people have it in the
M2,m hm→
M1,+≈ ha:s an l+c+d: scree::n→ ∙hhh it's abou:t li:ke u:h ei:ght↗ u:h ro::ws: by:: six:tee:n colum:ns or twenty four colum:ns↗ or so:me⌈thing:⌉↗
M2,⌊that's⌋ not ba:d [!]
M1,"a::nd u:h you: can: u:::h: you: can li:ke (.) m[/] (.) wri:te and it'll sa:y whe:n they ca::lled→ and then ⁎they⁎ [/] it can leave, they can leave a little ∙hhh you know (where) you can hea:r the voi:ce mai::l a:nd- ∙hhh ⌈it can⌉ do: uh telepho:ne ba:nki::ng→"
M2,⌊(wow)⌋ [!]
M1,"+≈ and all s:orts uh [/] order mo:vie:s, whatever you want [!]"
M2,m hm:↗
M1,"+≈ ∙hhh hhh so: that's their ne:w thi:ng, that they're coming ou:t ∙hhh make people buy mo:re switche:s→"
M2,yea:h hhh ⌈ hhh hhh hhh ∙hhh hhh⌉ hhh hhh [!]
M1,⌊°∙hh hh ∙hh°⌋→ tha:t's one of the thing:s they ha:- and they a:lso ha:ve thi:s- [NOISE] ∙hhh you kno:w the Pe:nnsylva:nia thi:ng [!] this is University of Pennsylvania (.)→
M2,wha⌈:t ⌉ ↗
M1,⌊Uni⌋ver:sity of Pennsylva:nia [/] this pho:ne stu:ff:↗ (0.3) thi:s phone recording:↗ ∙hhh→
M2,+≈ o:h yea:h [!] yea:h→
M1,+≈ the:y're the gu::ys:→ (0.2) a:nd it's uh W:illia:m La:bo::v → (0.2) if you: might be fa⌈milia:r with him⌉ .
M2,⌊o:h sur:e⌋ [!]
M1,+≈ yea:h→
M2,+≈ yea:h →
M1,"h:e::'s the o::ne- ∙hhh who:: wo:rked wi:th the:::m, the gu:ys in montrea:l (.) for and some other gu::ys→ a:nd [UNINTELLIGIBLE] in Quebec City I thin:k [STATIC] →"
M2,+≈ ah hah ↗
M1,"to deve:lo:p→ [STATIC] (0.2) s[/] [UNINTELLIGIBLE] u:::h, u::h, to u:ser in [/] u::m→ (0.6) °no:°→ ∙hhh spea:ker: indepe:nden:t→ (0.4) s:peech recognition: so:ftwa:re (.)→"
M2,wo::w →
M1,a:nd it [/] so I thi:nk that thi:s::[/] thi:s:: . ∙hhh stu:ff that they're reco:rding no:w is pro:bably:→ (0.4) ∙hhh for tha:t pro:gra:m that they're wor:king with this
M2,"⌊ri:ght, ri:ght⌋ (0.4) ."
M1,(it)'s probably a continuatio:n of tha:t→
M2,+≈ is Labo:v the sa:me guy that did the: (.) cu:⌈ps⌉-
M1,⌊yea⌋:h [!]
M2,+≈ thi::s: to:: ⌈the sau⌉:cers:→
M1,⌋               ⌊ye:°s:°→
M2,+≈ or hhh was(n't) hhh hhh it wa⌈:s it⌉ (.) cu:ps to gla:sses: or
M1,⌊yea:h⌋ →
M2,∙hh⌈h⌉→
M1,⌊ye⌋a:h → (0.3) that's him → he's: a lingui:st [!]
M2,yea::h [!]
M1,+≈ he only did tha::t- (1.1) you know from a li:nguistic point of ⌈view⌉→
M2,"⌊yea⌋:h→ and that was a lo:ng time ago, ⌈too:⌉→"
M1,"⌊ye⌋a:h, that°was nineteen°seventy three:→"
M2,yea::h→
M1,+≈ ∙hhhh a::nd u::h°h:s:°so I thi:nk that they:'re con:tinuing ∙hhh you ca:ll u:p hh→ ∙hhh a::nd u::h it gives you: the sto:ck mar:ke:t repo:rt→ ∙hhh an:d [/] the:y [/] it a:sks: you: hhh wha:t com:pany do you hea:r the: sto:ck mar:ket repo:rt fo:r: hhh →
M2,tsh oh⁎so it's got a⁎fi:nite num:ber of thi:ngs it's gotta
M1,⌊yea:⌋h abou:t u:⌈::h⌉ (.) six: thou:san:d or→
M2,⌊yea::h⌋ →
M1,⌈some⌉-
M2,⌊ye⌋a::h (0.2) yea:h→
M1,"+≈ ∙hhh a:nd u::h you: say: hhh I wa:nt a: s:to:ck mar:ket repor:t ∙hhh and it sa:ys [/] hhh Tex:aco:: u:p blah bla:h bla::h hhh→ and it O:R it a:sks you what excha:::nge→ an:d you kno:w, what do you want to hea::r→"
M2,+≈ yea::h→
M1,+≈ ∙hhh so it's go:t [/] li:ke si:x thou:sand com:panie::s
M2,⌊yea::h⌋ →
M1,"(1.) 0 [% very faint breathing on M1's side] . ∙hhh°ss°so that's pretty coo:l [!] (1.) 0 [% breathing on both sides] . ts ∙hh a:n:d u:::h- ∙hhh so that's the kind of stuff that they do:→ (0.7) and but my: jo::b, hh hhh this is hhh my: hhh jo:b hhh → ∙hhh I have to ma:ke a Ma:cromi:nd Director mo:vie:→ (0.2) that's my jo:b→"
M2,oh hhh hhh hhh really hhh [!]
M1,+≈ ye:p→
M2,+≈ ∙hhh wo::w hhh hh hhh hhh hhh ∙hhh hhh hhh [!]
M1,[UNINTELLIGIBLE][/] so it constitutes my: who:le jo::b →
M2,∙hhh so what is it a mo:vie o:f↗ is: it a mo⌈vie of [/] like the interface in <action:> [?] ⌉ or: +/.
M1,⌊well I ca:n't te:ll you that's a se:cret⌋ →
M2,+≈ ∙hhh o:h hhh hhh hhh ⌈hhh⌉→
M1,⌊bu:t y⌋ou know I'm going to have to put Quickti:me stu:ff in
M2,⌊yea⌋::h→
M1,+≈ ∙hhh a::nd u::h they wa:nt to (.) pu[/] tu::h°hh s: sp°eech
M2,+≈ ri:::ght→
M1,+≈ so that they can do speech recognition→ so [UNINTELLIGIBLE] i: [/] [UNINTELLIGIBLE] so it's going to ha:ve→ ∙hhh and it's going to be: in [/] tou:ch scree:::n→
M2,⌈m:⌉ [!]
M1,⌊so⌋ the fir:st thing ⁎[UNINTELLIGIBLE]⁎do tou:ch scree::n →
M2,m:: [!]
M1,"◉so I have◉ to desi::gn→ (0.5) the interfa:c:e kind of like a pro:blem spa:c:e, you ⌈kno:w⌉"
M2,⌊ri::ght⌋→
M1,whe::re every ti:me they push a bu:tton is an o::perator:→
M2,ri::ght→
M1,+≈ cha:nge:s them to different s:tate of the pro:blem spa:c:e →
M2,"ri:ght yu:p, ↗"
M1,(1.2) 0 [% M1 breathing out and in] . a::nd so: I have to [/] do[/] do a ta:sk analysis ba:sically o:f (0.2) you kno:w the little de:⌈mo: that I:'m going to set u:p⌉ .
M2,⌊ [STATIC] →
M1,it's ◉kind of◉ a de:mo→ °it's no:t really necessarily a working thing°→
M2,yea::h ⌈°you know°⌉-
M1,"⌊I: sti:ll ⌋ ha:ve to look at all [/] the whole pro:blem spa:c:e→ ∙hhh and a:ctually:, thi:s i:s wei::rd→ ∙hhh yea:h I was ta:lking to: a gu::y at- (0.2) and ⁎h⁎[/] I go: to the lo:cal: u::h→ (1.1) u:::h→ ∙hhh <chi:: meeting:s> [= best guess] computer human interaction"
M2,⌊ye:ah⌋ [!]
M1,a ⌈[UNINTELLIGIBLE]⌉ &~t t_m↗
M2,⌊ri:ght⌋ → (0.3) yea:h [!]
M1,"+≈ ∙hhh a::nd u::h [/] (0.3) I was talking to a gu:y who does (0.3) re:sear:ch at (.) u:h o:ne of the univer:sities: he:re→ ∙hhh and I said→ +"" ∙hhh (0.7) and he was talking about [/] this machi:ne that's ∙hhh a [/] a [/] (.) a so:ftware pro:gra:m that's really doi:ng ∙hhh really goo:d [/] for doing fi:ni:te sta:te mo:delling→"
M2,∙hh⌈h hhh hhh⌉ [!]
M1,⌊and [/] he say⌋:s +/. ∙hhh hhh well you kno:w we use tha:t [/] fo:r: u::h hhh → (0.6) you kno:w hhh for human: computer: intera:ction desi:gning: +≈ ∙hhh you kno:w hhh rs for mo:dels tha:t [/] that can u:se a (0.2) you kno:w that can be descri:bed <in a fi:ni:te> [//] ⌈by a⌉
M2,⌊ [STATIC] ⌋ . ⌈ [STATIC] ⌉→
M1,⌊and I⌋'m thinki:ng→ ∙hhh finite state ◉machine◉ isn't [UNINTELLIGIBLE] li:ke the:- ∙hhh a proble:m spa:c:e↗
M2,+≈ yea::⌈h:⌉ [!]
M1,⌊⁎so⌋ I⁎come u:p and I a:sk him:→
M2,[NOISE] →
M1,⁎you knowbut he sa:ys and ⌈he's⌉⁎-
M2,⌊ [STATIC⌋] →
M1,+≈ ◉go:ing o:n and o:n you kno:w◉ (.)
M2,⌈ [NOISE] ⌉→
